REF	14880	getVehicleModelsList
VEH	14895	getVehiclesListVozilaZaBel
REF	14929	getVehicleEngineTypesByIdVehicleModel
REF	14947	getVehicleEngineTypesList
REF	14964	getVehicleMakerById
REF	14983	getVehicleMakers
CUS	15004	depCustomerFinansicalState
REF	15196	deleteVehicleGearBox
REF	15211	addVehicleGearBox
REF	15239	updateVehicleGearBox
REF	15265	getVehicleGearBoxById
REF	15283	getVehicleGearBox
VEH	15300	getVehicleModeById
REF	15321	getVehicleModel
VEH	15341	deleteVehicleMode
VEH	15356	addVehicleMode
VEH	15393	updateVehicleMode
REF	15506	getVehicleUseByCategoryAndBodytype
REF	15542	getVehicleTireTypeById
REF	15561	getVehicleTireTypeByIdVehicleModel
REF	15582	getVehicleTireTypes
REF	15602	getVehicleTireTypesByIdModel
REF	15623	deleteVehicleTireType
REF	15638	updateVehicleTireType
REF	15670	addVehicleTireType
REF	15707	updateVehicleEngineType
REF	15743	addVehicleEngineType
REF	15786	deleteVehicleEngineType
REF	15801	getVehicleEngineTypeById
REF	15824	getVehicleEngineTypes
REF	15844	getVehicleCategoriesRelationById
REF	15865	getVehicleCategoriesRelationByIdCategory
REF	15886	getVehicleCategoriesRelations
REF	15906	getVehicleBodytypeByIdCategory
REF	15926	deleteVehicleCategoriesRelation
REF	15941	addVehicleCategoriesRelation
REF	15978	updateVehicleCategoriesRelation
VEH	16010	updateVehicleSupportin
VEH	16036	addVehicleSupportin
VEH	16064	deleteVehicleSupportin
VEH	16079	getVehicleSupportinById
REF	16097	getVehicleSupporting
REF	16114	addTehnicalExamOrganization
REF	16145	updateTehnicalExamOrganization
REF	16176	getDocumentsInternationalDriveingLicencesList
REF	16196	getLastVehicleTehnicalExam
REF	16224	deleteTehnicalExamOrganization
REQ	16242	printPlav
REF	16313	PrintDocumentInternatiomalDriveingLicence
REQ	16345	printBel
REF	16416	getTehnicalExamOrganizations
REF	16434	getTehnicalExamOrganizationById
REQ	16456	printZelen
REF	16521	getTehnicalExamOrganizationsBezMomentalnaStanica
RPT	16552	RequestPivotReport
VEH	16578	deleteVehicle
DOC	16593	PrintDocumentPermisionForCustomer
DOC	16616	PrintDocumentPermisionForCustomerByIdDocumentPermision
RPT	16642	TechnicalExamPivotReport
INF-INFRA	16668	CISTI_BAZA
REF	16702	updateCustomerVehiclesRelationsByDocumentTypeOptionDetail
REF	16748	updateCustomerVehiclesRelationsByDocumentTypeOption
DOC	16804	getDocumentsTrafficLicencesValid
DOC	16824	getValidDocumentsTrafficLicencesList
DOC	16843	getDocumentsNotEnded
VEH	16872	getCustomerFinancialStateByIdCustomerVehicleRelation
CUS	16896	getCustomerFinancialStateList
VEH	16920	getCustomerVehiclesRelationListByType
VEH	16954	NumOfVehiclesShellExists
VEH	16968	getVehicleById
VEH	17045	getVehicles
VEH	17121	addVehicle
VEH	17326	getVehiclesNotActive
DOC	17394	getCustomerVehiclesRelationsMinusTrafficLicence
VEH	17438	getCustomerVehiclesRelationsByVehicle
VEH	17470	getCustomerVehiclesRelationsByCustomer
VEH	17501	getCustomerVehiclesRelationsList
VEH	17531	updateVehicle
VEH	17675	getCustomerVehiclesRelationsListByCustomerVehicleAndType
REF	17712	updateTehnicalExamVehiclePartsCategorie
REF	17738	addTehnicalExamVehiclePartsCategorie
REF	17766	deleteTehnicalExamVehiclePartsCategorie
REF	17781	getTehnicalExamVehiclePartsCategories
REF	17798	getTehnicalExamVehiclePartsCategorieById
REF	17816	getTehnicalExamVehiclePartsListByIdCategory
REF	17836	getTehnicalExamVehiclePartsList
REF	17854	getTehnicalExamVehicleParts
REF	17873	getTehnicalExamVehiclePartById
REF	17893	deleteTehnicalExamVehiclePart
REF	17908	addTehnicalExamVehiclePart
REF	17942	updateTehnicalExamVehiclePart
REF	18090	addVehicleRequiredField
REF	18118	updateVehicleRequiredField
REF	18144	getVehicleRequiredFields
REF	18159	getVehicleRequiredFieldByIdCategory
REF	18177	getVehicleRequiredFieldById
REF	18195	deleteVehicleRequiredField
ATT	18210	getDocumentAttachments
ATT	18232	getDocumentAttachmentById
ATT	18255	updateDocumentAttachment
ATT	18291	addDocumentAttachment
ATT	18332	getDocumentAttachmentByIdCustomer
ATT	18353	getDocumentAttachmentByIdVehicle
REF	18376	deleteStreet
PAY	18394	GetPaymentDocumentRataForFiscalPrintByIdRata
REF	18421	getStreetById
PAY	18442	GetPaymentDocumentRataForFiscalPrintByIdDocument
REF	18483	getStreets
CUS	18503	PrintCustomer
RPT	18540	printCustomerPivotReport
CUS	18563	PrintCustomerById
CUS	18588	getCustomersListByIsCompany
CUS	18630	getCustomersList
REF	18672	addStreet
REF	18700	updateStreet
REF	18726	getCitiesCommunitiesCountriesList
REF	18748	NumOfCustomerCountryShortNameExists
REF	18762	NumOfCustomerCountryNameExists
REF	18776	addCountrie
REF	18807	updateCountrie
REF	18835	deleteCountrie
REF	18850	getCountries
REF	18868	getCountrieById
DOC	18887	getDocumentsTrafficLicencesNumberByIdVehicle
REF	18905	getDocumentsActiveTehnicalExamsReportByIdVehicle
VEH	18924	updateCustomerVehiclesRelation
VEH	18960	ProveriRelacijaSoVozilo
VEH	18979	getVehicleCurrentOwner
VEH	19003	getVehicleLastOwner
VEH	19022	getCustomerVehiclesRelationTypeByCustomerAndVehicle
CUS	19056	ExistsRelationCustomerOnly
VEH	19078	deleteCustomerVehiclesRelation
VEH	19093	getCustomerVehiclesRelationByType
VEH	19116	getCustomerVehiclesRelationIdByCustomerAndVehicle
VEH	19150	getCustomerVehiclesRelations
VEH	19172	getCustomerVehiclesRelationById
VEH	19198	existsCustomerVehicleRelation
VEH	19222	addCustomerVehiclesRelation
REF	19265	addCommunitie
REF	19296	updateCommunitie
REF	19324	deleteCommunitie
REF	19339	getCommunities
REF	19357	getCommunitieById
REF	19376	getDocumentTypesOptionsDetailById
REF	19397	getDocumentTypesOptionsDetailByIdDocumentTypesOptions
REF	19418	getDocumentTypesOptionsDetails
REF	19438	updateDocumentTypesOptionsDetail
REF	19470	deleteDocumentTypesOptionsDetail
REF	19485	addDocumentTypesOptionsDetail
REQ	19522	addRequestVehicleOwnershipProof
REQ	19553	updateRequestVehicleOwnershipProof
REQ	19581	deleteRequest
REQ	19608	deleteRequestVehicleOwnershipProof
REQ	19621	getRequestVehicleOwnershipProofByIdRequest
REQ	19640	getRequestVehicleOwnershipProofById
REQ	19659	getRequestVehicleOwnershipProofs
REF	19677	deleteColorsDetail
REF	19692	getColorsDetailByIdColor
REF	19711	getColorsDetails
REF	19727	getColorsDetailById
REF	19746	getColorsDetailsList
REF	19766	addColorsDetail
REF	19797	updateColorsDetail
PAY	19825	updateRequestPaymentProo
PAY	19853	addRequestPaymentProo
PAY	19884	getRequestPaymentProoById
PAY	19903	getRequestPaymentProof
PAY	19921	deleteRequestPaymentProo
PAY	19934	getRequestPaymentProoByIdRequest
REF	19953	deleteColor
REF	19968	getColors
REF	19988	getColorById
REF	20009	addColor
REF	20046	updateColor
REF	20078	deleteDocumentsTehnicalExamsReportsDetail
REF	20093	addDocumentsTehnicalExamsReportsDetail
REF	20142	getDocumentsTehnicalExamsReportsDetailById
REF	20167	getDocumentsTehnicalExamsReportsDetailByIdTehnicalExamsReports
REF	20194	getDocumentsTehnicalExamsReportsDetails
REF	20218	updateDocumentsTehnicalExamsReportsDetail
REF	20258	getRegistrationIssuerById
REF	20275	getRegistrationIssuers
VEH	20289	getVehicleRegistrationByIdVehicleList
REF	20316	updateRegistrationIssuer
REF	20340	addRegistrationIssuer
VEH	20365	getVehicleRegistrationByIdList
REF	20382	deleteRegistrationIssuer
REF	20397	addCitie
REF	20431	updateCitie
REF	20461	getCitieById
REF	20481	getCities
