15906	getVehicleBodytypeByIdCategory
15926	deleteVehicleCategoriesRelation
15941	addVehicleCategoriesRelation
15978	updateVehicleCategoriesRelation
16010	updateVehicleSupportin
16036	addVehicleSupportin
16064	deleteVehicleSupportin
16079	getVehicleSupportinById
16097	getVehicleSupporting
16114	addTehnicalExamOrganization
16145	updateTehnicalExamOrganization
16176	getDocumentsInternationalDriveingLicencesList
16196	getLastVehicleTehnicalExam
16224	deleteTehnicalExamOrganization
16242	printPlav
16313	PrintDocumentInternatiomalDriveingLicence
16345	printBel
16416	getTehnicalExamOrganizations
16434	getTehnicalExamOrganizationById
16456	printZelen
16521	getTehnicalExamOrganizationsBezMomentalnaStanica
16552	RequestPivotReport
16578	deleteVehicle
16593	PrintDocumentPermisionForCustomer
16616	PrintDocumentPermisionForCustomerByIdDocumentPermision
16642	TechnicalExamPivotReport
16668	CISTI_BAZA
16702	updateCustomerVehiclesRelationsByDocumentTypeOptionDetail
16748	updateCustomerVehiclesRelationsByDocumentTypeOption
16804	getDocumentsTrafficLicencesValid
16824	getValidDocumentsTrafficLicencesList
16843	getDocumentsNotEnded
16872	getCustomerFinancialStateByIdCustomerVehicleRelation
16896	getCustomerFinancialStateList
16920	getCustomerVehiclesRelationListByType
16954	NumOfVehiclesShellExists
16968	getVehicleById
17045	getVehicles
17121	addVehicle
17326	getVehiclesNotActive
17394	getCustomerVehiclesRelationsMinusTrafficLicence
17438	getCustomerVehiclesRelationsByVehicle
17470	getCustomerVehiclesRelationsByCustomer
17501	getCustomerVehiclesRelationsList
17531	updateVehicle
17675	getCustomerVehiclesRelationsListByCustomerVehicleAndType
17712	updateTehnicalExamVehiclePartsCategorie
17738	addTehnicalExamVehiclePartsCategorie
17766	deleteTehnicalExamVehiclePartsCategorie
17781	getTehnicalExamVehiclePartsCategories
17798	getTehnicalExamVehiclePartsCategorieById
17816	getTehnicalExamVehiclePartsListByIdCategory
17836	getTehnicalExamVehiclePartsList
17854	getTehnicalExamVehicleParts
17873	getTehnicalExamVehiclePartById
17893	deleteTehnicalExamVehiclePart
17908	addTehnicalExamVehiclePart
17942	updateTehnicalExamVehiclePart
18090	addVehicleRequiredField
18118	updateVehicleRequiredField
18144	getVehicleRequiredFields
18159	getVehicleRequiredFieldByIdCategory
18177	getVehicleRequiredFieldById
18195	deleteVehicleRequiredField
18210	getDocumentAttachments
18232	getDocumentAttachmentById
18255	updateDocumentAttachment
18291	addDocumentAttachment
18332	getDocumentAttachmentByIdCustomer
18353	getDocumentAttachmentByIdVehicle
18376	deleteStreet
18394	GetPaymentDocumentRataForFiscalPrintByIdRata
18421	getStreetById
18442	GetPaymentDocumentRataForFiscalPrintByIdDocument
18483	getStreets
18503	PrintCustomer
18540	printCustomerPivotReport
18563	PrintCustomerById
18588	getCustomersListByIsCompany
18630	getCustomersList
18672	addStreet
18700	updateStreet
18726	getCitiesCommunitiesCountriesList
18748	NumOfCustomerCountryShortNameExists
18762	NumOfCustomerCountryNameExists
18776	addCountrie
18807	updateCountrie
18835	deleteCountrie
18850	getCountries
18868	getCountrieById
18887	getDocumentsTrafficLicencesNumberByIdVehicle
18905	getDocumentsActiveTehnicalExamsReportByIdVehicle
18924	updateCustomerVehiclesRelation
18960	ProveriRelacijaSoVozilo
18979	getVehicleCurrentOwner
19003	getVehicleLastOwner
19022	getCustomerVehiclesRelationTypeByCustomerAndVehicle
19056	ExistsRelationCustomerOnly
19078	deleteCustomerVehiclesRelation
19093	getCustomerVehiclesRelationByType
19116	getCustomerVehiclesRelationIdByCustomerAndVehicle
19150	getCustomerVehiclesRelations
19172	getCustomerVehiclesRelationById
19198	existsCustomerVehicleRelation
19222	addCustomerVehiclesRelation
19265	addCommunitie
19296	updateCommunitie
19324	deleteCommunitie
19339	getCommunities
19357	getCommunitieById
19376	getDocumentTypesOptionsDetailById
19397	getDocumentTypesOptionsDetailByIdDocumentTypesOptions
19418	getDocumentTypesOptionsDetails
19438	updateDocumentTypesOptionsDetail
19470	deleteDocumentTypesOptionsDetail
19485	addDocumentTypesOptionsDetail
19522	addRequestVehicleOwnershipProof
19553	updateRequestVehicleOwnershipProof
19581	deleteRequest
19608	deleteRequestVehicleOwnershipProof
19621	getRequestVehicleOwnershipProofByIdRequest
19640	getRequestVehicleOwnershipProofById
19659	getRequestVehicleOwnershipProofs
19677	deleteColorsDetail
19692	getColorsDetailByIdColor
19711	getColorsDetails
19727	getColorsDetailById
19746	getColorsDetailsList
19766	addColorsDetail
19797	updateColorsDetail
19825	updateRequestPaymentProo
19853	addRequestPaymentProo
19884	getRequestPaymentProoById
19903	getRequestPaymentProof
19921	deleteRequestPaymentProo
19934	getRequestPaymentProoByIdRequest
19953	deleteColor
19968	getColors
19988	getColorById
20009	addColor
20046	updateColor
20078	deleteDocumentsTehnicalExamsReportsDetail
20093	addDocumentsTehnicalExamsReportsDetail
20142	getDocumentsTehnicalExamsReportsDetailById
20167	getDocumentsTehnicalExamsReportsDetailByIdTehnicalExamsReports
20194	getDocumentsTehnicalExamsReportsDetails
20218	updateDocumentsTehnicalExamsReportsDetail
20258	getRegistrationIssuerById
20275	getRegistrationIssuers
20289	getVehicleRegistrationByIdVehicleList
20316	updateRegistrationIssuer
20340	addRegistrationIssuer
20365	getVehicleRegistrationByIdList
20382	deleteRegistrationIssuer
20397	addCitie
20431	updateCitie
20461	getCitieById
20481	getCities
20500	deleteCitie
20513	getRequestTypeByIdRequestType
20543	getRequestTypes
20572	deleteRequestType
20587	getRequestTypeById
20617	updateRequestType
20667	addRequestType
20731	getCalculationItems
20750	getCalculationItemById
20770	updateCalculationItem
20800	addCalculationItem
20834	deleteCalculationItem
20849	getRequestById
20879	getRequestByIdTechnicalExamReport
20909	getRequests
20936	TehnicalExamPassed
20954	addRequest
21018	updateRequest
21068	getBusinessTypes
21085	getBusinessTypeById
21103	updateBusinessType
21129	addBusinessType
21157	deleteBusinessType
21339	updateAttachmentType
21363	addAttachmentType
21388	getAttachmentTypeById
21405	getAttachmentTypes
21421	deleteAttachmentType
21436	deleteDDVCatalo
21451	getDDVCatalog
21468	getDDVCataloById
21486	updateDDVCatalo
21512	addDDVCatalo
21587	getVehicleLastRegistration
21607	EndPreviosRegistrationsForVehicleId
21635	NumOfVehiclesRegistrationNumberExists
21649	getVehicleFirstRegistration
21695	getVahicleFirstRegistration
21793	updateCustomersContactPerson
21829	addCustomersContactPerson
21872	getCustomersContactPersons
21894	getCustomersContactPersonById
21917	getCustomersContactPersonByIdCustomer
21940	deleteCustomersContactPerson
21955	getCustomerVehiclesRelationTypesByIsCustomerOnly
21976	getCustomerVehiclesRelationTypes
21996	getCustomerVehiclesRelationTypeById
22017	updateCustomerVehiclesRelationType
22049	addCustomerVehiclesRelationType
22086	deleteCustomerVehiclesRelationType
22101	updateDocumentsTrafficLicenceSetEndDtae
22120	updateDocumentTypesOption
22154	addDocumentTypesOption
